Sensitivity,Result,URL
1Base_Wx-Years_EQ_,"Generation for DE-Duisburg-Wanheim III",https://epsi.genscape.com/epsa/sensitivity/3416/results/127/xml?filter_id=&resolution=hourly&account=101&password=YOUR_PASSWORD
1Base_Wx-Years_EQ_,"Generation for Germany, Solar",https://epsi.genscape.com/epsa/sensitivity/3416/results/32/xml?filter_id=&resolution=hourly&account=101&password=YOUR_PASSWORD
1Base_Wx-Years_EQ_,"Flow (backward) for Great Britain - Norway",https://epsi.genscape.com/epsa/sensitivity/3416/results/276/xml?filter_id=&resolution=hourly&account=101&password=YOUR_PASSWORD
1Base_Wx-Years_EQ_,"Generation for Switzerland, GT",https://epsi.genscape.com/epsa/sensitivity/3416/results/90/xml?filter_id=&resolution=hourly&account=101&password=YOUR_PASSWORD
1Base_Wx-Years_EQ_,"CO2 price for Netherlands",https://epsi.genscape.com/epsa/sensitivity/3416/results/206/xml?filter_id=&resolution=hourly&account=101&password=YOUR_PASSWORD
1Base_Wx-Years_EQ_,"Net exports for Netherlands",https://epsi.genscape.com/epsa/sensitivity/3416/results/118/xml?filter_id=&resolution=hourly&account=101&password=YOUR_PASSWORD
1Base_Wx-Years_EQ_,"Generation for Denmark (West), ST-Coal",https://epsi.genscape.com/epsa/sensitivity/3416/results/71/xml?filter_id=&resolution=hourly&account=101&password=YOUR_PASSWORD
1Base_Wx-Years_EQ_,"Demand for Denmark (East)",https://epsi.genscape.com/epsa/sensitivity/3416/results/102/xml?filter_id=&resolution=hourly&account=101&password=YOUR_PASSWORD
1Base_Wx-Years_EQ_,"Generation for Netherlands, Engine",https://epsi.genscape.com/epsa/sensitivity/3416/results/358/xml?filter_id=&resolution=hourly&account=101&password=YOUR_PASSWORD
1Base_Wx-Years_EQ_,"Generation for Spain, ST-Lignite",https://epsi.genscape.com/epsa/sensitivity/3416/results/331/xml?filter_id=&resolution=hourly&account=101&password=YOUR_PASSWORD
1Base_Wx-Years_EQ_,"Generation for Austria, Wind",https://epsi.genscape.com/epsa/sensitivity/3416/results/16/xml?filter_id=&resolution=hourly&account=101&password=YOUR_PASSWORD
1Base_Wx-Years_EQ_,"Generation for Belgium, Engine",https://epsi.genscape.com/epsa/sensitivity/3416/results/55/xml?filter_id=&resolution=hourly&account=101&password=YOUR_PASSWORD
1Base_Wx-Years_EQ_,"Generation for Denmark (West), ST-Biomass",https://epsi.genscape.com/epsa/sensitivity/3416/results/84/xml?filter_id=&resolution=hourly&account=101&password=YOUR_PASSWORD
1Base_Wx-Years_EQ_,"Capacity available for France, Engine",https://epsi.genscape.com/epsa/sensitivity/3416/results/233/xml?filter_id=&resolution=hourly&account=101&password=YOUR_PASSWORD
1Base_Wx-Years_EQ_,"Line capacity (forward) for Denmark (West) - Great Britain",https://epsi.genscape.com/epsa/sensitivity/3416/results/259/xml?filter_id=&resolution=hourly&account=101&password=YOUR_PASSWORD
1Base_Wx-Years_EQ_,"Fuel price (original units) for Spain, Gas",https://epsi.genscape.com/epsa/sensitivity/3416/results/194/xml?filter_id=&resolution=hourly&account=101&password=YOUR_PASSWORD
1Base_Wx-Years_EQ_,"Generation for France, ST-Nuclear",https://epsi.genscape.com/epsa/sensitivity/3416/results/57/xml?filter_id=&resolution=hourly&account=101&password=YOUR_PASSWORD
1Base_Wx-Years_EQ_,"Dump energy for Austria",https://epsi.genscape.com/epsa/sensitivity/3416/results/368/xml?filter_id=&resolution=hourly&account=101&password=YOUR_PASSWORD
1Base_Wx-Years_EQ_,"Capacity available for Belgium, ST-Coal",https://epsi.genscape.com/epsa/sensitivity/3416/results/220/xml?filter_id=&resolution=hourly&account=101&password=YOUR_PASSWORD
1Base_Wx-Years_EQ_,"Generation for Czech Republic, ST-Lignite",https://epsi.genscape.com/epsa/sensitivity/3416/results/316/xml?filter_id=&resolution=hourly&account=101&password=YOUR_PASSWORD
1Base_Wx-Years_EQ_,"Generation for DE-Nossener Brucke # 3",https://epsi.genscape.com/epsa/sensitivity/3416/results/163/xml?filter_id=&resolution=hourly&account=101&password=YOUR_PASSWORD
1Base_Wx-Years_EQ_,"Generation for Switzerland, ST-Gas",https://epsi.genscape.com/epsa/sensitivity/3416/results/89/xml?filter_id=&resolution=hourly&account=101&password=YOUR_PASSWORD
1Base_Wx-Years_EQ_,"Generation for GB-Shoreham",https://epsi.genscape.com/epsa/sensitivity/3416/results/175/xml?filter_id=&resolution=hourly&account=101&password=YOUR_PASSWORD
1Base_Wx-Years_EQ_,"Generation for Germany, Wind",https://epsi.genscape.com/epsa/sensitivity/3416/results/31/xml?filter_id=&resolution=hourly&account=101&password=YOUR_PASSWORD
1Base_Wx-Years_EQ_,"Generation for Germany, Hydro-Res",https://epsi.genscape.com/epsa/sensitivity/3416/results/35/xml?filter_id=&resolution=hourly&account=101&password=YOUR_PASSWORD
1Base_Wx-Years_EQ_,"System Marginal Price - native currency for Great Britain",https://epsi.genscape.com/epsa/sensitivity/3416/results/11/xml?filter_id=&resolution=hourly&account=101&password=YOUR_PASSWORD
1Base_Wx-Years_EQ_,"Generation for Netherlands, ST-Gas",https://epsi.genscape.com/epsa/sensitivity/3416/results/347/xml?filter_id=&resolution=hourly&account=101&password=YOUR_PASSWORD
1Base_Wx-Years_EQ_,"Fuel price (original units) for Belgium, Lignite",https://epsi.genscape.com/epsa/sensitivity/3416/results/208/xml?filter_id=&resolution=hourly&account=101&password=YOUR_PASSWORD
1Base_Wx-Years_EQ_,"Generation for Switzerland, CCGT",https://epsi.genscape.com/epsa/sensitivity/3416/results/93/xml?filter_id=&resolution=hourly&account=101&password=YOUR_PASSWORD
1Base_Wx-Years_EQ_,"Generation for Denmark (East), Hydro-PS",https://epsi.genscape.com/epsa/sensitivity/3416/results/292/xml?filter_id=&resolution=hourly&account=101&password=YOUR_PASSWORD
1Base_Wx-Years_EQ_,"Dump energy for Spain",https://epsi.genscape.com/epsa/sensitivity/3416/results/378/xml?filter_id=&resolution=hourly&account=101&password=YOUR_PASSWORD
1Base_Wx-Years_EQ_,"Generation for Czech Republic, ST-Waste",https://epsi.genscape.com/epsa/sensitivity/3416/results/325/xml?filter_id=&resolution=hourly&account=101&password=YOUR_PASSWORD
1Base_Wx-Years_EQ_,"Generation for Germany, ST-Gas",https://epsi.genscape.com/epsa/sensitivity/3416/results/29/xml?filter_id=&resolution=hourly&account=101&password=YOUR_PASSWORD
1Base_Wx-Years_EQ_,"Generation for Netherlands, Solar",https://epsi.genscape.com/epsa/sensitivity/3416/results/350/xml?filter_id=&resolution=hourly&account=101&password=YOUR_PASSWORD
1Base_Wx-Years_EQ_,"Generation for Denmark (East), CCGT",https://epsi.genscape.com/epsa/sensitivity/3416/results/291/xml?filter_id=&resolution=hourly&account=101&password=YOUR_PASSWORD
1Base_Wx-Years_EQ_,"Dump energy for Germany",https://epsi.genscape.com/epsa/sensitivity/3416/results/374/xml?filter_id=&resolution=hourly&account=101&password=YOUR_PASSWORD
1Base_Wx-Years_EQ_,"Fuel price (original units) for France, Lignite",https://epsi.genscape.com/epsa/sensitivity/3416/results/199/xml?filter_id=&resolution=hourly&account=101&password=YOUR_PASSWORD
1Base_Wx-Years_EQ_,"Net exports for Denmark (West)",https://epsi.genscape.com/epsa/sensitivity/3416/results/114/xml?filter_id=&resolution=hourly&account=101&password=YOUR_PASSWORD
1Base_Wx-Years_EQ_,"Capacity available for Belgium, GT",https://epsi.genscape.com/epsa/sensitivity/3416/results/226/xml?filter_id=&resolution=hourly&account=101&password=YOUR_PASSWORD
1Base_Wx-Years_EQ_,"Generation for France, ST-Lignite",https://epsi.genscape.com/epsa/sensitivity/3416/results/58/xml?filter_id=&resolution=hourly&account=101&password=YOUR_PASSWORD
1Base_Wx-Years_EQ_,"FX rate for Euro, British Pound",https://epsi.genscape.com/epsa/sensitivity/3416/results/211/xml?filter_id=&resolution=hourly&account=101&password=YOUR_PASSWORD
1Base_Wx-Years_EQ_,"Generation for DE-Ludwigshafen Mitte # 1",https://epsi.genscape.com/epsa/sensitivity/3416/results/153/xml?filter_id=&resolution=hourly&account=101&password=YOUR_PASSWORD
1Base_Wx-Years_EQ_,"Generation for Austria, GT",https://epsi.genscape.com/epsa/sensitivity/3416/results/15/xml?filter_id=&resolution=hourly&account=101&password=YOUR_PASSWORD
1Base_Wx-Years_EQ_,"Unserved energy for Czech Republic",https://epsi.genscape.com/epsa/sensitivity/3416/results/382/xml?filter_id=&resolution=hourly&account=101&password=YOUR_PASSWORD
1Base_Wx-Years_EQ_,"Generation for Spain, Hydro-PS",https://epsi.genscape.com/epsa/sensitivity/3416/results/337/xml?filter_id=&resolution=hourly&account=101&password=YOUR_PASSWORD
1Base_Wx-Years_EQ_,"Demand for Czech Republic",https://epsi.genscape.com/epsa/sensitivity/3416/results/101/xml?filter_id=&resolution=hourly&account=101&password=YOUR_PASSWORD
1Base_Wx-Years_EQ_,"Generation for Denmark (West), ST-Lignite",https://epsi.genscape.com/epsa/sensitivity/3416/results/73/xml?filter_id=&resolution=hourly&account=101&password=YOUR_PASSWORD
1Base_Wx-Years_EQ_,"Generation for Spain, ST-Waste",https://epsi.genscape.com/epsa/sensitivity/3416/results/340/xml?filter_id=&resolution=hourly&account=101&password=YOUR_PASSWORD
1Base_Wx-Years_EQ_,"Generation for Denmark (West), Wind",https://epsi.genscape.com/epsa/sensitivity/3416/results/76/xml?filter_id=&resolution=hourly&account=101&password=YOUR_PASSWORD
1Base_Wx-Years_EQ_,"Generation for Great Britain, ST-Oil",https://epsi.genscape.com/epsa/sensitivity/3416/results/311/xml?filter_id=&resolution=hourly&account=101&password=YOUR_PASSWORD
1Base_Wx-Years_EQ_,"Generation for France, Solar",https://epsi.genscape.com/epsa/sensitivity/3416/results/62/xml?filter_id=&resolution=hourly&account=101&password=YOUR_PASSWORD
1Base_Wx-Years_EQ_,"Generation for France, ST-Waste",https://epsi.genscape.com/epsa/sensitivity/3416/results/67/xml?filter_id=&resolution=hourly&account=101&password=YOUR_PASSWORD
1Base_Wx-Years_EQ_,"Capacity available for Great Britain, ST-Biomass",https://epsi.genscape.com/epsa/sensitivity/3416/results/241/xml?filter_id=&resolution=hourly&account=101&password=YOUR_PASSWORD
1Base_Wx-Years_EQ_,"Fuel price (original units) for France, Coal",https://epsi.genscape.com/epsa/sensitivity/3416/results/198/xml?filter_id=&resolution=hourly&account=101&password=YOUR_PASSWORD
1Base_Wx-Years_EQ_,"Generation for DE-Herdecke Cuno",https://epsi.genscape.com/epsa/sensitivity/3416/results/139/xml?filter_id=&resolution=hourly&account=101&password=YOUR_PASSWORD
1Base_Wx-Years_EQ_,"Unserved energy for Portugal",https://epsi.genscape.com/epsa/sensitivity/3416/results/389/xml?filter_id=&resolution=hourly&account=101&password=YOUR_PASSWORD
1Base_Wx-Years_EQ_,"Generation for DE-Emsland Gas # C",https://epsi.genscape.com/epsa/sensitivity/3416/results/129/xml?filter_id=&resolution=hourly&account=101&password=YOUR_PASSWORD
1Base_Wx-Years_EQ_,"Generation for Czech Republic, ST-Biomass",https://epsi.genscape.com/epsa/sensitivity/3416/results/327/xml?filter_id=&resolution=hourly&account=101&password=YOUR_PASSWORD
